variant,side,model,feature,coefficient
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,structure_gate,0.12366295748996393
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,regime_UNKNOWN,0.0
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,symbol_BTC/USDT,-0.5203936597914979
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,symbol_ETH/USDT,-0.24105258592442289
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,symbol_SOL/USDT,0.761446245715891
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,missing_indicator_0,0.0
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,missing_indicator_1,0.0
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,missing_indicator_2,0.0
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,missing_indicator_3,0.0
ARCH_V2_LONG_ONLY,SHORT,RETURN_RIDGE,missing_indicator_4,0.0
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,trend_norm,-0.11450976210555096
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,momentum_capped,0.007169991128946682
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,volume_confirm,-0.3030019607979949
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,regime_norm,0.023177057511079163
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,risk_norm,0.0
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,atr_log,0.0
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,rsi_centered,0.0
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,macd_per_vol,0.0
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,cost_pct,-0.055135504560684556
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,cost_to_atr,0.0
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,net_reward_risk,0.0
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,trend_per_vol,-0.11450976210555096
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,momentum_per_vol,0.007169991128946682
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,trend_volume_interaction,0.40766395999082794
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,structure_gate,0.023401012925390305
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,regime_UNKNOWN,0.0
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,symbol_BTC/USDT,-0.19236559315371798
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,symbol_ETH/USDT,-0.06993939662983492
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,symbol_SOL/USDT,0.2970191885520527
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,missing_indicator_0,0.0
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,missing_indicator_1,0.0
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,missing_indicator_2,0.0
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,missing_indicator_3,0.0
ARCH_V2_LONG_ONLY,SHORT,WIN_LOGISTIC,missing_indicator_4,0.0
