scope,variant,threshold,sample_count,win_count,loss_count,flat_count,win_rate,avg_return,median_return,expectancy,profit_factor,max_drawdown,total_return,viable,objective
ALL,FULL,50,2829,1123,1706,0,0.39696,-0.410238,-0.634196,-0.410238,0.730396,-1223.818382,-1160.563562,False,-inf
ALL,FULL,55,2154,872,1282,0,0.404828,-0.3318,-0.581987,-0.3318,0.777003,-773.903885,-714.697601,False,-inf
ALL,FULL,60,1447,604,843,0,0.417415,-0.291388,-0.523871,-0.291388,0.802333,-483.126583,-421.638094,False,-inf
ALL,FULL,65,961,407,554,0,0.423517,-0.2543,-0.528686,-0.2543,0.827373,-297.397603,-244.382425,False,-inf
ALL,FULL,70,587,258,329,0,0.439523,-0.182581,-0.460942,-0.182581,0.872368,-199.064678,-107.17523,False,-inf
ALL,FULL,75,315,140,175,0,0.444444,-0.105677,-0.494144,-0.105677,0.923021,-74.882059,-33.28835,False,-inf
ALL,FULL,80,135,59,76,0,0.437037,-0.147368,-0.500782,-0.147368,0.884137,-45.528529,-19.894671,False,-inf
ALL,FULL,85,41,20,21,0,0.487805,0.927687,-0.132152,0.927687,1.948542,-10.568374,38.035165,True,2.896582755510951
ALL,FULL,90,6,2,4,0,0.333333,0.790627,-0.823438,0.790627,1.771823,-3.46902,4.743762,False,-inf
ALL,WITHOUT_TREND_SCORE,50,217,95,122,0,0.437788,-0.262986,-0.528686,-0.262986,0.811626,-106.746692,-57.06799,False,-inf
ALL,WITHOUT_TREND_SCORE,55,82,40,42,0,0.487805,0.175409,-0.256936,0.175409,1.158763,-18.60868,14.383546,True,0.5243239411594853
ALL,WITHOUT_TREND_SCORE,60,18,7,11,0,0.388889,0.318752,-0.497463,0.318752,1.29928,-11.413324,5.737544,False,-inf
