run_id,generated_utc,version,status,symbol,timeframe,collect_live,primary_cause,cause_confidence,catalyst_score,event_risk,technical_event_conflict,causal_alignment,causal_verdict,source_count,successful_sources,trusted_successful_sources,manual_events_loaded,auto_events_loaded,evidence_strength,evidence_grade,causal_claim_status,independent_source_count,directional_agreement
causal_intel_20260709_141140,2026-07-09T14:11:42.284001+00:00,v6.5.0,CAUSAL_CONTEXT_PARTIAL_SOURCES,BTC/USDT,4h,True,EXTERNAL_MANUAL_EVENTS,MEDIUM,100,HIGH,LOW,NEUTRAL_DECISION_CONTEXT_ONLY,CAUSAL_CONTEXT_PROMISING_BUT_INCOMPLETE,90,87,86,2,81,,,,,
causal_intel_20260709_141206,2026-07-09T14:12:08.638889+00:00,v6.5.0,CAUSAL_CONTEXT_PARTIAL_SOURCES,BTC/USDT,4h,True,EXTERNAL_MANUAL_EVENTS,MEDIUM,100,HIGH,LOW,NEUTRAL_DECISION_CONTEXT_ONLY,CAUSAL_CONTEXT_PROMISING_BUT_INCOMPLETE,90,87,86,2,81,,,,,
causal_intel_20260709_210904,2026-07-09T21:09:06.285892+00:00,v7.0.0,CAUSAL_CONTEXT_PARTIAL_SOURCES,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,25,HIGH,LOW,NEUTRAL_DECISION_CONTEXT_ONLY,CAUSAL_CONTEXT_WEAK_OR_RISKY,19,16,15,2,10,,,,,
causal_intel_20260709_210932,2026-07-09T21:09:34.854919+00:00,v7.0.0,CAUSAL_CONTEXT_PARTIAL_SOURCES,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,25,HIGH,LOW,NEUTRAL_DECISION_CONTEXT_ONLY,CAUSAL_CONTEXT_WEAK_OR_RISKY,19,16,15,2,10,,,,,
causal_intel_20260710_112907,2026-07-10T11:29:09.642674+00:00,v7.0.0,CAUSAL_CONTEXT_WITH_BLOCKERS,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,54,HIGH,HIGH,CONFLICT_WITH_EXTERNAL_CONTEXT,CAUSAL_CONFLICT_RESEARCH_ONLY,19,16,15,2,10,,,,,
causal_intel_20260710_112940,2026-07-10T11:29:42.173885+00:00,v7.0.0,CAUSAL_CONTEXT_WITH_BLOCKERS,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,54,HIGH,HIGH,CONFLICT_WITH_EXTERNAL_CONTEXT,CAUSAL_CONFLICT_RESEARCH_ONLY,19,16,15,2,10,,,,,
causal_intel_20260710_181121,2026-07-10T18:11:23.557979+00:00,v7.0.0,CAUSAL_CONTEXT_WITH_BLOCKERS,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,33,HIGH,HIGH,CONFLICT_WITH_EXTERNAL_CONTEXT,CAUSAL_CONFLICT_RESEARCH_ONLY,20,17,16,2,11,,,,,
causal_intel_20260710_181154,2026-07-10T18:11:56.111133+00:00,v7.0.0,CAUSAL_CONTEXT_WITH_BLOCKERS,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,33,HIGH,HIGH,CONFLICT_WITH_EXTERNAL_CONTEXT,CAUSAL_CONFLICT_RESEARCH_ONLY,20,17,16,2,11,,,,,
causal_intel_20260710_233810,2026-07-10T23:38:12.604576+00:00,v7.0.0,CAUSAL_CONTEXT_PARTIAL_SOURCES,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,40,HIGH,LOW,NEUTRAL_DECISION_CONTEXT_ONLY,CAUSAL_CONTEXT_NEUTRAL,20,17,16,2,11,,,,,
causal_intel_20260710_233841,2026-07-10T23:38:42.709663+00:00,v7.0.0,CAUSAL_CONTEXT_PARTIAL_SOURCES,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,40,HIGH,LOW,NEUTRAL_DECISION_CONTEXT_ONLY,CAUSAL_CONTEXT_NEUTRAL,20,17,16,2,11,,,,,
causal_intel_20260711_072630,2026-07-11T07:26:33.141542+00:00,v7.0.0,CAUSAL_CONTEXT_WITH_BLOCKERS,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,44,HIGH,HIGH,CONFLICT_WITH_EXTERNAL_CONTEXT,CAUSAL_CONFLICT_RESEARCH_ONLY,20,17,16,2,11,,,,,
causal_intel_20260711_072702,2026-07-11T07:27:04.009825+00:00,v7.0.0,CAUSAL_CONTEXT_WITH_BLOCKERS,BTC/USDT,4h,True,MULTI_SOURCE_EVENT_CONSENSUS,HIGH,44,HIGH,HIGH,CONFLICT_WITH_EXTERNAL_CONTEXT,CAUSAL_CONFLICT_RESEARCH_ONLY,20,17,16,2,11,,,,,
